appid,name,genre,price,rating,playtime_forever,release_year,playtime_hours,is_free
730,Counter-Strike 2,Shooter,0.0,87,154320,2012,2572.0,True
570,Dota 2,Strategy,0.0,82,98450,2013,1640.8,True
1091500,Cyberpunk 2077,RPG,59.99,86,4210,2020,70.2,False
1245620,Elden Ring,RPG,59.99,95,8890,2022,148.2,False
413150,Stardew Valley,Simulation,14.99,97,12340,2016,205.7,False
1938090,Call of Duty,Shooter,69.99,71,3200,2022,53.3,False
1174180,Red Dead Redemption 2,Action,59.99,93,6700,2019,111.7,False
1868140,DAVE THE DIVER,Simulation,19.99,96,1890,2023,31.5,False
1888930,The Last of Us Part I,Action,59.99,79,2150,2023,35.8,False
1145360,Hades,Roguelike,24.99,98,5430,2020,90.5,False
892970,Valheim,Survival,19.99,94,7650,2021,127.5,False
1097150,Fall Guys,Party,0.0,61,890,2020,14.8,True
1517290,Battlefield 2042,Shooter,39.99,44,1200,2021,20.0,False
632470,Disco Elysium,RPG,39.99,96,3800,2019,63.3,False
1966720,Lethal Company,Horror,9.99,97,4560,2023,76.0,False
